validation,stage,stage_order,stage_label,ranker,method,budget,recall,recall_unit_mean,precision,random_recall,oracle_recall,lift,skill,n_units,n_poor,n_selected,hits
site,tp4,4,+ TP1-TP4,naive_imagery,naive_imagery,0.2500,0.3146,0.3426,0.3152,0.2501,0.9981,1.2578,0.0862,5,534,533,168
site,tp5,5,+ TP1-TP5,forecast,forecast,0.1000,0.1854,0.2065,0.4648,0.1000,0.3989,1.8548,0.2858,5,534,213,99
site,tp5,5,+ TP1-TP5,forecast,forecast,0.2000,0.3221,0.3511,0.4028,0.2004,0.7996,1.6075,0.2031,5,534,427,172
site,tp5,5,+ TP1-TP5,forecast,forecast,0.2500,0.3801,0.4111,0.3809,0.2501,0.9981,1.5199,0.1738,5,534,533,203
site,tp5,5,+ TP1-TP5,lower_bound,lower_bound,0.1000,0.1629,0.1772,0.4085,0.1000,0.3989,1.6300,0.2107,5,534,213,87
site,tp5,5,+ TP1-TP5,lower_bound,lower_bound,0.2000,0.2772,0.3022,0.3466,0.2004,0.7996,1.3832,0.1281,5,534,427,148
site,tp5,5,+ TP1-TP5,lower_bound,lower_bound,0.2500,0.3427,0.3655,0.3433,0.2501,0.9981,1.3701,0.1238,5,534,533,183
site,tp5,5,+ TP1-TP5,relative_forecast,relative_forecast,0.1000,0.1816,0.1966,0.4554,0.1000,0.3989,1.8173,0.2733,5,534,213,97
site,tp5,5,+ TP1-TP5,relative_forecast,relative_forecast,0.2000,0.3052,0.3397,0.3817,0.2004,0.7996,1.5234,0.1750,5,534,427,163
site,tp5,5,+ TP1-TP5,relative_forecast,relative_forecast,0.2500,0.3539,0.3917,0.3546,0.2501,0.9981,1.4151,0.1388,5,534,533,189
site,tp5,5,+ TP1-TP5,records_only,relative_forecast,0.1000,0.1536,0.1562,0.3850,0.1000,0.3989,1.5363,0.1793,5,534,213,82
site,tp5,5,+ TP1-TP5,records_only,relative_forecast,0.2000,0.2772,0.2925,0.3466,0.2004,0.7996,1.3832,0.1281,5,534,427,148
site,tp5,5,+ TP1-TP5,records_only,relative_forecast,0.2500,0.3408,0.3574,0.3415,0.2501,0.9981,1.3627,0.1213,5,534,533,182
site,tp5,5,+ TP1-TP5,naive_imagery,naive_imagery,0.1000,0.1255,0.1321,0.3146,0.1000,0.3989,1.2553,0.0854,5,534,213,67
site,tp5,5,+ TP1-TP5,naive_imagery,naive_imagery,0.2000,0.2097,0.2283,0.2623,0.2004,0.7996,1.0467,0.0156,5,534,427,112
site,tp5,5,+ TP1-TP5,naive_imagery,naive_imagery,0.2500,0.2491,0.2756,0.2495,0.2501,0.9981,0.9958,-0.0014,5,534,533,133
site,tp6,6,+ TP1-TP6,forecast,forecast,0.1000,0.1573,0.1755,0.3944,0.1000,0.3989,1.5738,0.1919,5,534,213,84
site,tp6,6,+ TP1-TP6,forecast,forecast,0.2000,0.2828,0.3198,0.3536,0.2004,0.7996,1.4112,0.1375,5,534,427,151
site,tp6,6,+ TP1-TP6,forecast,forecast,0.2500,0.3296,0.3669,0.3302,0.2501,0.9981,1.3177,0.1062,5,534,533,176
site,tp6,6,+ TP1-TP6,lower_bound,lower_bound,0.1000,0.1685,0.1821,0.4225,0.1000,0.3989,1.6862,0.2294,5,534,213,90
site,tp6,6,+ TP1-TP6,lower_bound,lower_bound,0.2000,0.2809,0.3087,0.3513,0.2004,0.7996,1.4019,0.1344,5,534,427,150
site,tp6,6,+ TP1-TP6,lower_bound,lower_bound,0.2500,0.3240,0.3558,0.3246,0.2501,0.9981,1.2953,0.0987,5,534,533,173
site,tp6,6,+ TP1-TP6,relative_forecast,relative_forecast,0.1000,0.1629,0.1835,0.4085,0.1000,0.3989,1.6300,0.2107,5,534,213,87
site,tp6,6,+ TP1-TP6,relative_forecast,relative_forecast,0.2000,0.2715,0.2937,0.3396,0.2004,0.7996,1.3551,0.1187,5,534,427,145
site,tp6,6,+ TP1-TP6,relative_forecast,relative_forecast,0.2500,0.3221,0.3473,0.3227,0.2501,0.9981,1.2878,0.0962,5,534,533,172
site,tp6,6,+ TP1-TP6,records_only,relative_forecast,0.1000,0.1536,0.1562,0.3850,0.1000,0.3989,1.5363,0.1793,5,534,213,82
site,tp6,6,+ TP1-TP6,records_only,relative_forecast,0.2000,0.2772,0.2925,0.3466,0.2004,0.7996,1.3832,0.1281,5,534,427,148
site,tp6,6,+ TP1-TP6,records_only,relative_forecast,0.2500,0.3408,0.3574,0.3415,0.2501,0.9981,1.3627,0.1213,5,534,533,182
site,tp6,6,+ TP1-TP6,naive_imagery,naive_imagery,0.1000,0.0805,0.0832,0.2019,0.1000,0.3989,0.8056,-0.0650,5,534,213,43
site,tp6,6,+ TP1-TP6,naive_imagery,naive_imagery,0.2000,0.1554,0.1647,0.1944,0.2004,0.7996,0.7757,-0.0750,5,534,427,83
site,tp6,6,+ TP1-TP6,naive_imagery,naive_imagery,0.2500,0.1854,0.1940,0.1857,0.2501,0.9981,0.7412,-0.0865,5,534,533,99
