dataset,synthetic,validation,stage,stage_order,stage_label,uses_imagery,model,mae,rmse,r2,bias,relative_mae,n,spearman_within,spearman_pooled,fold_mae_mean,fold_mae_sd,n_folds,coverage,interval_width,coverage_min_group,interval_calibration,seconds,group_mae,delta_mae_vs_mean,timing_passes_mean,delta_mae_vs_records,pct_mae_reduction_vs_records,delta_mae_vs_best_records,best_records_model,cqr_coverage,cqr_width,delta_mae_ci_low,delta_mae_ci_high,group_wins,n_groups,timing_share_with_imagery,timing_acq_date_min,timing_acq_date_median,timing_acq_date_max,timing_dap_min,timing_dap_median,timing_dap_max,timing_lead_days_median,timing_lead_days_min,timing_harvest_basis
practice_3sites,False,site,tp5,5,+ TP1-TP5,True,ridge,325.3502,336.7322,-31.4727,-96.6941,2.9195,1479,0.2658,-0.7510,325.1672,82.1933,3,0.3414,475.3797,0.0000,site,0.2200,"{""Ames-2022"": 219.7341, ""Crawfordsville-2022"": 420.2689, ""Lincoln-2022"": 335.4984}",-250.8896,5.0000,97.7592,23.1050,-229.8881,catboost,,,96.7835,98.8283,1.0000,3.0000,1.0000,2022-09-11,2022-09-19,2022-10-01,111.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
practice_3sites,False,site,tp5,5,+ TP1-TP5,True,random_forest,88.0692,92.7398,-1.4631,-38.4804,0.7903,1479,0.2263,-0.4890,88.2397,11.0299,3,0.7268,222.4887,0.3095,site,4.6000,"{""Ames-2022"": 93.8686, ""Crawfordsville-2022"": 98.0239, ""Lincoln-2022"": 72.8267}",-13.6085,5.0000,9.1539,9.4154,7.3930,catboost,,,8.0376,10.2413,2.0000,3.0000,1.0000,2022-09-11,2022-09-19,2022-10-01,111.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
practice_3sites,False,site,tp5,5,+ TP1-TP5,True,hist_gradient_boosting,87.5343,92.2535,-1.4373,-39.5804,0.7855,1479,0.3049,-0.4467,87.7279,12.2508,3,0.7302,214.7369,0.4821,site,5.9500,"{""Ames-2022"": 96.9124, ""Crawfordsville-2022"": 95.8578, ""Lincoln-2022"": 70.4133}",-13.0737,5.0000,9.0810,9.3991,7.9278,catboost,,,8.0305,10.2232,2.0000,3.0000,1.0000,2022-09-11,2022-09-19,2022-10-01,111.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
practice_3sites,False,site,tp5,5,+ TP1-TP5,True,catboost,71.5737,76.3476,-0.6693,-19.4334,0.6423,1479,0.3586,-0.4885,71.5116,10.7818,3,0.8080,224.1274,0.4405,site,13.1900,"{""Ames-2022"": 56.5757, ""Crawfordsville-2022"": 81.6365, ""Lincoln-2022"": 76.3226}",2.8869,5.0000,23.8884,25.0240,23.8884,catboost,0.7363,230.1964,22.8658,24.8892,3.0000,3.0000,1.0000,2022-09-11,2022-09-19,2022-10-01,111.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
practice_3sites,False,site,tp6,6,+ TP1-TP6,True,ridge,265.7333,278.6694,-21.2396,-88.4729,2.3845,1479,0.2358,-0.7537,265.7314,78.4251,3,0.0189,354.2857,0.0000,site,0.2500,"{""Ames-2022"": 172.627, ""Crawfordsville-2022"": 364.4797, ""Lincoln-2022"": 260.0874}",-191.2726,6.0000,157.3762,37.1951,-170.2711,catboost,,,156.3504,158.5346,1.0000,3.0000,1.0000,2022-09-24,2022-09-27,2022-10-09,124.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
practice_3sites,False,site,tp6,6,+ TP1-TP6,True,random_forest,90.6724,95.6017,-1.6175,-42.1322,0.8136,1479,0.2665,-0.4801,90.8963,15.3418,3,0.6545,218.8357,0.2917,site,4.7900,"{""Ames-2022"": 108.778, ""Crawfordsville-2022"": 92.5968, ""Lincoln-2022"": 71.314}",-16.2117,6.0000,6.5507,6.7378,4.7898,catboost,,,5.5768,7.5272,2.0000,3.0000,1.0000,2022-09-24,2022-09-27,2022-10-09,124.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
practice_3sites,False,site,tp6,6,+ TP1-TP6,True,hist_gradient_boosting,84.7385,89.6891,-1.3037,-35.7260,0.7604,1479,0.2981,-0.3623,84.8901,12.9258,3,0.6045,201.2532,0.1905,site,5.8200,"{""Ames-2022"": 102.5529, ""Crawfordsville-2022"": 80.1372, ""Lincoln-2022"": 71.9803}",-10.2779,6.0000,11.8768,12.2929,10.7236,catboost,,,10.9129,12.9583,2.0000,3.0000,1.0000,2022-09-24,2022-09-27,2022-10-09,124.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
practice_3sites,False,site,tp6,6,+ TP1-TP6,True,catboost,79.3045,83.6919,-1.0059,-23.1126,0.7116,1479,0.2465,-0.4910,79.2665,5.3808,3,0.7586,220.4224,0.3234,site,13.4900,"{""Ames-2022"": 71.7054, ""Crawfordsville-2022"": 83.7897, ""Lincoln-2022"": 82.3046}",-4.8439,6.0000,16.1576,16.9257,16.1576,catboost,0.6565,220.0870,15.2123,17.0658,3.0000,3.0000,1.0000,2022-09-24,2022-09-27,2022-10-09,124.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
practice_3sites,False,field,records,0,Records only,False,catboost,72.7157,80.9409,-0.8762,-14.3712,0.6525,1479,0.1390,-0.1236,76.7866,23.3382,5,,,,,1.1700,"{""Ames-2022"": 90.2485, ""Crawfordsville-2022"": 42.7452, ""Lincoln-2022"": 84.7934}",,0.0000,0.0000,0.0000,0.0000,catboost,,,,,,,,,,,,,,,,
practice_3sites,False,field,tp1,1,+ TP1,True,catboost,47.6463,58.8667,0.0076,14.0271,0.4275,1479,0.3626,0.4081,43.8361,25.1733,5,,,,,6.0500,"{""Ames-2022"": 41.1274, ""Crawfordsville-2022"": 18.3842, ""Lincoln-2022"": 82.2785}",,1.0000,25.0694,34.4759,25.0694,catboost,,,23.9998,26.1729,3.0000,3.0000,1.0000,2022-07-10,2022-07-15,2022-07-18,53.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
practice_3sites,False,field,tp2,2,+ TP1-TP2,True,catboost,44.6954,55.3829,0.1216,20.5826,0.4011,1479,0.3417,0.5731,39.2361,24.3760,5,,,,,7.6000,"{""Ames-2022"": 34.1986, ""Crawfordsville-2022"": 18.8447, ""Lincoln-2022"": 79.8683}",,2.0000,28.0203,38.5340,28.0203,catboost,,,26.7042,29.3213,3.0000,3.0000,1.0000,2022-07-20,2022-07-23,2022-08-06,61.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
practice_3sites,False,field,tp3,3,+ TP1-TP3,True,catboost,39.2220,50.3899,0.2728,19.6014,0.3520,1479,0.2026,0.6549,34.0001,21.1771,5,,,,,7.8400,"{""Ames-2022"": 28.2574, ""Crawfordsville-2022"": 17.6762, ""Lincoln-2022"": 70.6785}",,3.0000,33.4938,46.0612,33.4938,catboost,,,32.2154,34.7837,3.0000,3.0000,1.0000,2022-08-02,2022-08-10,2022-09-03,79.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
practice_3sites,False,field,tp4,4,+ TP1-TP4,True,catboost,40.8537,52.3065,0.2165,20.9925,0.3666,1479,0.2517,0.6364,34.8634,22.9484,5,,,,,7.9800,"{""Ames-2022"": 27.1627, ""Crawfordsville-2022"": 18.1838, ""Lincoln-2022"": 76.0333}",,4.0000,31.8620,43.8172,31.8620,catboost,,,30.6006,33.1351,3.0000,3.0000,1.0000,2022-08-31,2022-09-11,2022-09-13,100.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
practice_3sites,False,field,tp5,5,+ TP1-TP5,True,catboost,40.7729,51.8034,0.2315,21.5115,0.3659,1479,0.3587,0.6639,34.6206,22.6937,5,,,,,7.7100,"{""Ames-2022"": 26.8169, ""Crawfordsville-2022"": 17.985, ""Lincoln-2022"": 76.3226}",,5.0000,31.9429,43.9284,31.9429,catboost,,,30.6633,33.2082,3.0000,3.0000,1.0000,2022-09-11,2022-09-19,2022-10-01,111.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
practice_3sites,False,field,tp6,6,+ TP1-TP6,True,catboost,44.3282,55.8554,0.1065,19.6972,0.3978,1479,0.2925,0.5344,37.1228,24.3059,5,,,,,7.6900,"{""Ames-2022"": 26.3957, ""Crawfordsville-2022"": 23.0023, ""Lincoln-2022"": 82.3046}",,6.0000,28.3876,39.0391,28.3876,catboost,,,27.1881,29.6870,3.0000,3.0000,1.0000,2022-09-24,2022-09-27,2022-10-09,124.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
practice_3sites,False,random,records,0,Records only,False,catboost,22.0389,28.6986,0.7641,0.4848,0.1978,1479,0.4912,0.8606,22.0392,0.3488,5,,,,,1.2100,"{""Ames-2022"": 27.0963, ""Crawfordsville-2022"": 15.4745, ""Lincoln-2022"": 23.5082}",,0.0000,0.0000,0.0000,0.0000,catboost,,,,,,,,,,,,,,,,
practice_3sites,False,random,tp1,1,+ TP1,True,catboost,16.2030,21.0946,0.8726,0.2971,0.1454,1479,0.6126,0.9043,16.2028,0.4448,5,,,,,6.3000,"{""Ames-2022"": 20.6131, ""Crawfordsville-2022"": 15.315, ""Lincoln-2022"": 12.8014}",,1.0000,5.8359,26.4802,5.8359,catboost,,,4.9628,6.7087,3.0000,3.0000,1.0000,2022-07-10,2022-07-15,2022-07-18,53.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
practice_3sites,False,random,tp2,2,+ TP1-TP2,True,catboost,14.4207,18.8425,0.8983,0.4331,0.1294,1479,0.6835,0.9183,14.4203,0.4340,5,,,,,7.5700,"{""Ames-2022"": 16.7885, ""Crawfordsville-2022"": 15.6256, ""Lincoln-2022"": 10.9662}",,2.0000,7.6182,34.5670,7.6182,catboost,,,6.7203,8.5043,2.0000,3.0000,1.0000,2022-07-20,2022-07-23,2022-08-06,61.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
practice_3sites,False,random,tp3,3,+ TP1-TP3,True,catboost,13.8600,18.0012,0.9072,0.2559,0.1244,1479,0.7157,0.9267,13.8596,0.4136,5,,,,,7.4700,"{""Ames-2022"": 15.7214, ""Crawfordsville-2022"": 14.7357, ""Lincoln-2022"": 11.2135}",,3.0000,8.1789,37.1113,8.1789,catboost,,,7.2228,9.0701,3.0000,3.0000,1.0000,2022-08-02,2022-08-10,2022-09-03,79.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
practice_3sites,False,random,tp4,4,+ TP1-TP4,True,catboost,13.5519,17.5512,0.9118,0.3163,0.1216,1479,0.7248,0.9290,13.5513,0.4856,5,,,,,7.6200,"{""Ames-2022"": 15.2304, ""Crawfordsville-2022"": 14.5599, ""Lincoln-2022"": 10.9541}",,4.0000,8.4870,38.5092,8.4870,catboost,,,7.5440,9.3768,3.0000,3.0000,1.0000,2022-08-31,2022-09-11,2022-09-13,100.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
practice_3sites,False,random,tp5,5,+ TP1-TP5,True,catboost,13.7395,17.7992,0.9093,0.4893,0.1233,1479,0.7182,0.9272,13.7395,0.2413,5,,,,,7.7400,"{""Ames-2022"": 15.1175, ""Crawfordsville-2022"": 14.8275, ""Lincoln-2022"": 11.3545}",,5.0000,8.2994,37.6581,8.2994,catboost,,,7.3499,9.1952,3.0000,3.0000,1.0000,2022-09-11,2022-09-19,2022-10-01,111.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
practice_3sites,False,random,tp6,6,+ TP1-TP6,True,catboost,13.8746,17.7960,0.9093,0.3045,0.1245,1479,0.7251,0.9277,13.8744,0.3598,5,,,,,7.6600,"{""Ames-2022"": 15.5755, ""Crawfordsville-2022"": 14.7477, ""Lincoln-2022"": 11.3859}",,6.0000,8.1643,37.0449,8.1643,catboost,,,7.2382,9.0493,3.0000,3.0000,1.0000,2022-09-24,2022-09-27,2022-10-09,124.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
