site,season,as_of,horizon,n_seasons,ess,bandwidth,method,categories_available,observed,p_adverse,p_typical,p_favorable,c_adverse,c_typical,c_favorable,rps,rps_clim,brier,brier_clim,hit,hit_clim,crps_precip_mm,crps_clim_precip_mm,crps_gdd,crps_clim_gdd,crps_kdd_29c,crps_clim_kdd_29c,crps_heat_days,crps_clim_heat_days,crps_water_deficit_mm,crps_clim_water_deficit_mm
MOValley,2023,06-01,season,5,2.488796113176973,2.44140625,historical_analogs,True,1,0.1525278250313899,0.5812603052148398,0.2662118697537703,0.4,0.2,0.4,0.04706674850330233,0.15999999999999998,0.2694764289953737,0.9600000000000002,1.0,0.0,92.19221418449266,52.37639999999999,15.944236281475227,29.542679999999912,1.6391467934684947,3.903940133228579,3.190906860870855,4.199999999999999,86.58043131798337,56.93877845471252
MOValley,2023,06-15,30,5,2.8636009329973966,7.450580596923828,historical_analogs,True,1,0.1672173714641992,0.5272499081007163,0.3055327204350846,0.4,0.2,0.4,0.060655946287929745,0.15999999999999998,0.3448045419666408,0.9600000000000002,1.0,0.0,14.827569208697618,21.3756,60.19956370505504,61.8285599999999,1.877415284838556,3.1621879482658497,0.6379789821236954,0.9199999999999998,12.242409810913276,21.149237580193585
MOValley,2023,06-15,60,5,2.8636009329973966,7.450580596923828,historical_analogs,True,1,0.1672173714641992,0.5272499081007163,0.3055327204350846,0.4,0.2,0.4,0.060655946287929745,0.15999999999999998,0.3448045419666408,0.9600000000000002,1.0,0.0,69.17733132963805,61.443599999999975,79.28719182054067,76.63500000000022,1.955344576953193,4.789759017015785,1.152010148504492,0.6000000000000001,66.60385110486328,61.57611533624939
MOValley,2023,06-15,90,5,2.8636009329973966,7.450580596923828,historical_analogs,True,1,0.1672173714641992,0.5272499081007163,0.3055327204350846,0.4,0.2,0.4,0.060655946287929745,0.15999999999999998,0.3448045419666408,0.9600000000000002,1.0,0.0,41.92040848700249,38.55679999999999,12.41808157138987,30.835799999999942,4.8202560605699905,4.640633754098195,4.168124958716836,4.48,34.479537598592536,34.50097079177627
MOValley,2023,06-15,season,5,2.8636009329973966,7.450580596923828,historical_analogs,True,1,0.1672173714641992,0.5272499081007163,0.3055327204350846,0.4,0.2,0.4,0.060655946287929745,0.15999999999999998,0.3448045419666408,0.9600000000000002,1.0,0.0,81.10383618200652,51.75680000000001,34.97502183305988,36.32111999999998,8.525521980807635,7.723445878618081,6.861418594368937,7.079999999999999,75.10768969048651,56.53081646889652
MOValley,2023,07-01,30,5,3.6230435392171856,1.0,historical_analogs,True,2,0.17865856680136777,0.37451016545293675,0.4468312677456955,0.4,0.2,0.4,0.1689572649176766,0.26000000000000006,0.47817239386293925,0.56,1.0,0.5,19.080867331755123,19.396799999999992,55.12479776082178,54.325079999999865,2.6014378320740996,2.499213742028056,0.38504167509748166,0.39999999999999997,23.36390310932739,23.278307985149837
MOValley,2023,07-01,60,5,3.6230435392171856,1.0,historical_analogs,True,2,0.17865856680136777,0.14744245841385653,0.6738989747847757,0.4,0.2,0.4,0.06913038106896958,0.26000000000000006,0.16000004068106097,0.56,1.0,0.5,35.363942297960165,36.96679999999998,61.318742585017276,46.889999999999745,2.949206667649677,1.5489219226959143,2.8659528626697797,3.24,40.0792029197368,38.35561419845867
MOValley,2023,07-01,90,5,3.6230435392171856,1.0,historical_analogs,True,2,0.17865856680136777,0.14744245841385653,0.6738989747847757,0.4,0.2,0.4,0.06913038106896958,0.26000000000000006,0.16000004068106097,0.56,1.0,0.5,41.669361010572096,39.03679999999999,45.875534343561064,38.481840000000005,4.2101279692271065,3.63138223127209,5.369264100054254,6.119999999999999,46.71330638824765,43.50477240368684
MOValley,2023,07-01,season,5,3.6230435392171856,1.0,historical_analogs,True,2,0.17865856680136777,0.14744245841385653,0.6738989747847757,0.4,0.2,0.4,0.06913038106896958,0.26000000000000006,0.16000004068106097,0.56,1.0,0.5,55.891236845893275,47.249200000000016,55.558477341571184,36.349200000000046,5.3210549576636215,6.293627491878988,7.369264100054254,8.120000000000001,60.307693319948264,51.678305158645955
MOValley,2023,07-15,30,5,3.248688929542197,1.0,historical_analogs,True,2,0.2890102420849611,0.2763004707540629,0.434689287160976,0.4,0.2,0.4,0.20155156104028665,0.26000000000000006,0.47944507221949006,0.56,1.0,0.5,77.30704969343401,84.5112,17.602662711805035,19.676520000000068,1.5624394551392937,2.758305554393639,1.120714713105226,0.6399999999999999,88.82966369484646,95.40728824825601
